date,price,market_cap,volume,community_score,public_interest_score,fear_greed
2021-01-31,8761.590747951612,108325562395.74864,23341538800.29402,107452.083,18454,11
2021-01-30,8048.126049208264,99078590220.9452,26402503631.482098,106185.546,22200,23
2021-01-29,8344.670261808356,102499303066.5122,26180284998.21977,105034.417,22200,21
2021-01-28,8034.503059728949,98536780703.95947,32842512728.69512,104193.31033333331,22200,27
2021-01-27,7695.8329452603475,94878475599.5018,31640852414.285244,103113.16666666669,22200,20
2021-01-26,6977.733166951404,86059268547.1605,31501639727.027782,2675.230769230769,22200,27
2021-01-25,7442.896591714572,92142864872.85004,41820704935.64349,2644.153846153846,22200,26
2021-01-24,5902.237340927647,72427450463.11662,18406715365.82624,101351.25,22200,31
2021-01-23,5334.537039479908,65654972510.93027,18538561710.137325,100354.25766666669,22200,68
2021-01-22,4477.897022341681,55154906975.64869,19886803898.634487,99705.30769230767,22200,61
2021-01-21,5541.6438731865965,67509332001.88663,15549711106.094902,99337.53846153848,22200,72
2021-01-20,5224.271469924898,64622120873.87387,14757142172.153036,98859.00766666669,22200,73
2021-01-19,5558.375167350051,67950615406.87679,15722807027.764694,2309.0076666666664,22200,67
2021-01-18,5230.8292412516885,64081257504.450775,16829894158.790585,2285.0900769230766,22200,64
2021-01-17,5141.579164572457,63075913786.44888,24905413896.1585,97385.57692307692,22200,65
2021-01-16,4646.674989675909,57178135430.84112,16148347100.939907,96800.62166666667,22200,48
2021-01-15,4122.880097768361,49623814368.82681,12762258395.74227,96104.23076923077,24520,68
2021-01-14,4137.312383795986,50318552714.32775,15731089932.67578,95705.00766666669,24520,61
2021-01-13,3546.013765256086,43013810171.26904,16369206111.881807,2120.4243333333334,24520,66
2021-01-12,3233.9022435692086,39093804604.01208,15220125253.115677,2095.846153846154,24520,68
2021-01-11,3575.202328536214,43425001631.50713,14005106247.960203,2075.8486666666668,24520,51
2021-01-10,3326.229610188023,40476429994.32856,10314655274.399723,2059.5076666666664,24520,52
2021-01-09,3115.661926404942,37618493524.23884,11881958170.636992,93816.083,24520,59
2021-01-08,3238.130203382398,39134824260.55557,11320047194.498756,93580.67433333331,24520,50
2021-01-07,3224.9746949363407,39143642853.1409,9612816044.88732,93323.58333333331,24520,27
2021-01-06,3356.3289624776207,40405807074.72842,17238536576.794537,93036.82084615385,24520,31
2021-01-05,3077.360782166582,36708158945.05137,17596099925.990646,1995.810333333333,24520,37
2021-01-04,2613.704560982879,32111670882.842888,8488556097.762359,1954.0,24520,55
2021-01-03,2415.7191683620968,28951437890.921024,6647844564.450739,91711.15992307692,24520,65
2021-01-02,2527.2374596163427,30288491850.94474,6504196422.006151,91339.841,24520,73
2021-01-01,2481.340093946222,29879281051.112225,6582682426.3952,91004.42433333331,24520,73
2020-12-31,2286.387613948089,27530860972.481617,6469881894.045909,90711.15384615384,24542,74
2020-12-30,2204.7004063449403,26434858432.87424,4417766223.581308,90456.6983846154,22662,79
2020-12-29,2306.0521541470544,27817704604.086704,6816568741.97596,1885.2576666666664,22662,76
2020-12-28,2170.4812894779297,26248599737.71144,25348546359.753185,1875.5833333333333,22662,78
2020-12-27,2110.478227546628,25321926758.558807,5811779114.8923645,89648.84615384616,22662,79
2020-12-26,2241.1229842366374,26926842540.873013,4900899684.762681,89370.76923076923,22662,75
2020-12-25,2254.421734697272,27099367227.49028,9293045826.39863,89072.91666666667,22662,74
2020-12-24,2136.6349035474464,25725433618.74827,7928091460.632551,88727.54453846153,22662,74
2020-12-23,2376.79133572964,28567539987.32701,6915478594.529017,88345.31984615384,22662,76
2020-12-22,2293.884690672148,27500295483.69573,6305139670.07599,1829.591,22662,70
2020-12-21,2414.740907236373,28879878144.902325,8784059768.33505,1821.3333333333333,22662,70
2020-12-20,2507.192975536708,30146789304.270504,10133047615.99348,86989.53846153847,22662,73
2020-12-19,2531.795419949657,30177505704.348427,7407026311.160115,86734.09007692308,22662,72
2020-12-18,2393.372469263658,28712239078.523422,10773596866.80731,86404.85633333333,22662,75
2020-12-17,2452.2730411765406,29390604469.10633,11654125612.194412,86179.48466666667,22662,71
2020-12-16,2446.9518463706468,29343351267.201687,9160273279.539787,85775.46153846153,22662,74
2020-12-15,2423.502641122686,29112935852.521484,10020723943.028725,85543.61538461539,18130,73
2020-12-14,2354.033532171495,28098342480.334232,7768249708.91219,1763.1666666666667,18130,74
